Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 28 22:53 2014
***********
Set Up 8253
***********
************
Test Timer 0
************
                1510: OUT - xx1
            32773000: OUT - xx0
            65541000: OUT - xx1
            98309000: OUT - xx0
           131077000: OUT - xx1
************
Test Timer 1
************
           131077510: OUT - x11
           131098000: OUT - x01
           131099000: OUT - x11
           131116000: OUT - x01
           131117000: OUT - x11
           131134000: OUT - x01
           131135000: OUT - x11
*****************
Test Timer 2 Gate
*****************
           136030000: OUT - 101
           136031000: OUT - 111
           136048000: OUT - 101
           136049000: OUT - 111
           136066000: OUT - 101
           136067000: OUT - 111
           136084000: OUT - 101
           136085000: OUT - 111
           136102000: OUT - 101
           136103000: OUT - 111
           136120000: OUT - 101
           136121000: OUT - 111
           136138000: OUT - 101
           136139000: OUT - 111
           136156000: OUT - 101
           136157000: OUT - 111
           136174000: OUT - 101
           136175000: OUT - 111
           136192000: OUT - 101
           136193000: OUT - 111
           136210000: OUT - 101
           136211000: OUT - 111
           136228000: OUT - 101
           136229000: OUT - 111
           136246000: OUT - 101
           136247000: OUT - 111
           136264000: OUT - 101
           136265000: OUT - 111
           136282000: OUT - 101
           136283000: OUT - 111
           136300000: OUT - 101
           136301000: OUT - 111
           136318000: OUT - 101
           136319000: OUT - 111
           136336000: OUT - 101
           136337000: OUT - 111
           136354000: OUT - 101
           136355000: OUT - 111
           136372000: OUT - 101
           136373000: OUT - 111
           136390000: OUT - 101
           136391000: OUT - 111
           136408000: OUT - 101
           136409000: OUT - 111
           136426000: OUT - 101
           136427000: OUT - 111
           136444000: OUT - 101
           136445000: OUT - 111
           136462000: OUT - 101
           136463000: OUT - 111
********************
Test Timer 2 Re-Gate
********************
           136480000: OUT - 101
           136481000: OUT - 111
           136498000: OUT - 101
           136499000: OUT - 111
           136516000: OUT - 101
           136517000: OUT - 111
           136534000: OUT - 101
           136535000: OUT - 111
           136552000: OUT - 101
           136553000: OUT - 111
           136570000: OUT - 101
           136571000: OUT - 111
           136588000: OUT - 101
           136589000: OUT - 111
           136606000: OUT - 101
           136607000: OUT - 111
           136624000: OUT - 101
           136625000: OUT - 111
           136642000: OUT - 101
           136643000: OUT - 111
           136660000: OUT - 101
           136661000: OUT - 111
           136678000: OUT - 101
           136679000: OUT - 111
           136696000: OUT - 101
           136697000: OUT - 111
           136714000: OUT - 101
           136715000: OUT - 111
           136732000: OUT - 101
           136733000: OUT - 111
           136750000: OUT - 101
           136751000: OUT - 111
           136768000: OUT - 101
           136769000: OUT - 111
           136786000: OUT - 101
           136787000: OUT - 111
           136804000: OUT - 101
           136805000: OUT - 111
           136822000: OUT - 101
           136823000: OUT - 111
           136840000: OUT - 101
           136841000: OUT - 111
           136858000: OUT - 101
           136859000: OUT - 111
           136876000: OUT - 101
           136877000: OUT - 111
           136894000: OUT - 101
           136895000: OUT - 111
           136912000: OUT - 101
           136913000: OUT - 111
           136930000: OUT - 101
           136931000: OUT - 111
           136948000: OUT - 101
           136949000: OUT - 111
           136966000: OUT - 101
           136967000: OUT - 111
           136984000: OUT - 101
           136985000: OUT - 111
           137002000: OUT - 101
           137003000: OUT - 111
           137020000: OUT - 101
           137021000: OUT - 111
           137038000: OUT - 101
           137039000: OUT - 111
           137056000: OUT - 101
